"date,""lead_name"",""business"",""area"",""phone_or_link"",""channel"",""status"",""next_action"",""next_date"",""notes"",""lead_id"""
"2026-03-05,""A Leader Pack - Leader Freight Forwarders"",""A Leader Pack - Leader Freight Forwarders"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-leader-pack-leader-freight-forwarders-117207"",""UAE0906"""
"2026-03-05,""A M Q Investment"",""A M Q Investment"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-m-q-investment-157026"",""UAE0907"""
"2026-03-05,""A M T Phones Intl LLC"",""A M T Phones Intl LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-m-t-phones-intl-llc-163004"",""UAE0908"""
"2026-03-05,""A Movers"",""A Movers"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-movers-177497"",""UAE0909"""
"2026-03-05,""A One Metal Coating"",""A One Metal Coating"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-one-metal-coating-164334"",""UAE0910"""
"2026-03-05,""A One Technology Fire Safety and Security System LLC"",""A One Technology Fire Safety and Security System LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-one-technology-fire-safety-and-security-system-llc-153676"",""UAE0911"""
"2026-03-05,""A R Deco Decor And Furniture"",""A R Deco Decor And Furniture"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-r-deco-decor-and-furniture-172995"",""UAE0912"""
"2026-03-05,""A Royal Fifty3 LLC"",""A Royal Fifty3 LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-royal-fifty3-llc-180085"",""UAE0913"""
"2026-03-05,""A Royal Fifty3 LLC"",""A Royal Fifty3 LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-royal-fifty3-llc-180085"",""UAE0914"""
"2026-03-05,""A Sabur Eng Company LLC"",""A Sabur Eng Company LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-sabur-eng-company-llc-125852"",""UAE0915"""
"2026-03-05,""A T Generators"",""A T Generators"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-t-generators-106587"",""UAE0916"""
"2026-03-05,""A T Generators"",""A T Generators"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-t-generators-106587"",""UAE0917"""
